AllergyID,AllergyName
73,Penicillin
74,Fragrance
75,Chia Seeds
76,Peanuts
77,Ragweed
78,Pet Feather
79,Nickel
80,Insect Stings
81,Ginseng
82,Shellfish
83,Grapes
84,Dust
85,Aspirin
86,Sesame
87,Dander
88,Blueberries
89,Cottonseed Oil
90,Melon
91,Mold
92,Milk
93,Horseradish
94,Tobacco Smoke
95,Propylene Glycol
96,Perfumes
97,Pumpkin
98,Zucchini
99,Basil
100,Azo Dyes
101,Avocado
102,Seafood
103,Beef
104,Raspberries
105,Pollen
106,Garlic
107,Mushrooms
108,Eggs
109,Figs
110,Latex
111,Tree Nuts
112,Tea
113,Green Beans
114,Strawberries
115,Tomato
116,Sulfites
117,Antibiotics
118,Soy
119,Soybean Oil
120,Sesame Oil
121,Walnut
122,Anesthetics
123,Bean
124,Peaches
125,Coffee
126,Sulfur Dioxide
127,Plums
128,Cinnamon
129,Wheat
130,Sunflower Seeds
131,Caramel Coloring
132,Cladosporium
133,Celery
134,Cucumbers
135,Thyme
136,Cobalt
137,Eggplant
138,Mustard
139,Caraway
140,Citrus
141,Meadow Grass
142,Parsley
143,Pea Protein
144,Apricots
145,Cabbage
146,Spinach
147,Coconut
148,Cocoa
149,Poppy Seeds
150,Tartrazine
151,Stevia
152,Oregano
153,Potatoes
154,Corn Syrup
155,Radishes
156,Bromine
157,Pineapple
158,Chicken
159,Gold
160,Cranberries
161,Cardamom
162,Dill
163,Aspartame
164,Limonene
165,Kiwi
166,Mint
167,Butylated Hydroxytoluene (BHT)
168,Olives
169,Blackberries
170,Yellow Dye No. 5
171,Chamomile
172,Lettuce
173,Quinoa
174,Lupin
175,Rosemary
176,Bananas
177,Cloves
178,Gelatin
179,Barley
180,Isopropyl Alcohol
181,Fenugreek
182,Chickpeas
183,Paprika
184,Bell Peppers
185,Pear
186,Silver
187,Saffron
